date,slug,date,name,age,team,away,opponent,game_result,minutes_played,field_goals,field_goals_att,field_goal_perc,three_point_made,three_point_att,three_point_perc,free_throws_made,free_throws_att,free_throw_perc,offensive_rebound,defensive_rebound,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,date_string,combined,team_field_goals,team_free_throws_att,team_turnovers,team_minutes_played,true_shooting_att,true_shooting_%,usage_rate,fantasy_points
2020-01-02,adamsst01,2020-01-02,Steven Adams,26,OKC,1,SAS,6.0,29.54,5.0,8.0,0.625,0.0,0.0,,4.0,6.0,0.667,4.0,5.0,9.0,3.0,0.0,1.0,1.0,4.0,14.0,14.1,8.0,2020-01-02,2020-01-02OKC,58.0,12.0,3.0,173.41,10.64,0.6578947368421052,20.618835011516353,31.25
2020-01-04,adamsst01,2020-01-04,Steven Adams,26,OKC,1,CLE,15.0,30.17,2.0,7.0,0.28600000000000003,0.0,0.0,,6.0,7.0,0.857,8.0,8.0,16.0,4.0,1.0,1.0,1.0,1.0,10.0,16.6,15.0,2020-01-04,2020-01-04OKC,67.0,17.0,8.0,163.3,10.08,0.49603174603174605,14.542262452632626,39.5
2020-01-06,adamsst01,2020-01-06,Steven Adams,26,OKC,1,PHI,-7.0,35.08,9.0,14.0,0.643,0.0,0.0,,6.0,8.0,0.75,9.0,6.0,15.0,1.0,0.0,2.0,1.0,1.0,24.0,25.8,-4.0,2020-01-06,2020-01-06OKC,64.0,26.0,8.0,166.82999999999998,17.52,0.684931506849315,21.111118703065777,47.75
2020-01-07,adamsst01,2020-01-07,Steven Adams,26,OKC,1,BRK,8.0,35.43,3.0,5.0,0.6,0.0,0.0,,4.0,7.0,0.5710000000000001,4.0,14.0,18.0,3.0,2.0,0.0,2.0,0.0,10.0,15.6,17.0,2020-01-07,2020-01-07OKC,56.0,17.0,10.0,180.69000000000003,8.08,0.6188118811881188,13.992146566692647,40.0
2020-01-09,adamsst01,2020-01-09,Steven Adams,26,OKC,0,HOU,21.0,24.58,6.0,8.0,0.75,0.0,0.0,,3.0,4.0,0.75,1.0,7.0,8.0,3.0,1.0,0.0,1.0,1.0,15.0,15.9,17.0,2020-01-09,2020-01-09OKC,58.0,15.0,10.0,163.76,9.76,0.7684426229508197,19.21893821564209,31.0
2020-01-11,adamsst01,2020-01-11,Steven Adams,26,OKC,0,LAL,-15.0,29.26,6.0,10.0,0.6,0.0,0.0,,0.0,0.0,,2.0,6.0,8.0,1.0,2.0,1.0,1.0,0.0,12.0,13.0,-12.0,2020-01-11,2020-01-11OKC,67.0,8.0,5.0,176.21,10.0,0.6,17.543527781317703,29.0
2020-01-13,adamsst01,2020-01-13,Steven Adams,26,OKC,1,MIN,13.0,28.55,5.0,7.0,0.7140000000000001,0.0,0.0,,3.0,4.0,0.75,4.0,7.0,11.0,5.0,1.0,3.0,2.0,1.0,13.0,18.8,8.0,2020-01-13,2020-01-13OKC,66.0,22.0,10.0,174.51999999999998,8.76,0.7420091324200914,15.353305829044984,41.25
2020-01-15,adamsst01,2020-01-15,Steven Adams,26,OKC,0,TOR,-9.0,6.33,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,-2.0,2020-01-15,2020-01-15OKC,63.0,13.0,14.0,169.36,1.0,1.0,12.937685822630865,7.5
2020-01-17,adamsst01,2020-01-17,Steven Adams,26,OKC,0,MIA,-7.0,,,,,,,,,,,,,,,,,,,,,,2020-01-17,2020-01-17OKC,52.0,11.0,7.0,159.45,,,,
2020-01-18,adamsst01,2020-01-18,Steven Adams,26,OKC,0,POR,13.0,24.08,1.0,7.0,0.14300000000000002,0.0,0.0,,3.0,4.0,0.75,5.0,4.0,9.0,3.0,0.0,0.0,3.0,2.0,5.0,3.1,20.0,2020-01-18,2020-01-18OKC,42.0,17.0,5.0,103.95,8.76,0.2853881278538813,18.6366663251716,19.25
