,name,mape,actual
0,Steven Adams,72.97434733257661,36.708333333333336
1,Bam Adebayo,76.33472949389179,47.75
2,LaMarcus Aldridge,69.02246879334257,36.05
3,Jarrett Allen,53.48095238095239,24.5
4,Kyle Anderson,84.33671875,21.333333333333332
5,Giannis Antetokounmpo,84.09019279128248,59.65
6,Carmelo Anthony,84.2357894736842,27.708333333333332
7,OG Anunoby,41.93902759526939,31.708333333333332
8,Ryan Arcidiacono,46.67725631768953,13.85
9,Trevor Ariza,62.998698481561824,23.05
10,Lonzo Ball,80.18189944134079,37.291666666666664
11,Harrison Barnes,56.82708933717579,28.916666666666668
12,Will Barton,61.56867469879517,24.9
13,Kent Bazemore,58.38486842105262,25.333333333333332
14,Bradley Beal,74.44692737430167,62.65
15,Malik Beasley,81.71963109354414,31.625
16,Marco Belinelli,15.738528138528139,11.55
17,Dāvis Bertāns,77.08905109489051,27.4
18,Khem Birch,7.333333333333329,7.3125
19,Bismack Biyombo,38.98172588832487,24.625
20,Nemanja Bjelica,57.7822445561139,24.875
21,Eric Bledsoe,74.17950138504155,30.083333333333332
22,Bogdan Bogdanović,86.91363636363637,26.4
23,Bojan Bogdanović,58.39511343804538,23.875
24,Devin Booker,78.76253443526171,38.892857142857146
25,Chris Boucher,50.961383285302595,17.35
26,Avery Bradley,55.93954659949622,16.541666666666668
27,Tony Bradley,54.695081967213106,12.2
28,Malcolm Brogdon,86.22045454545454,33.0
29,Dillon Brooks,51.365635738831614,24.25
30,Jaylen Brown,78.61297297297297,37.0
31,Sterling Brown,11.996261682243002,6.6875
32,Thomas Bryant,72.49103448275861,18.125
33,Reggie Bullock,26.593464052287572,12.75
34,Alec Burks,52.07937336814621,19.15
35,Jimmy Butler,91.3331599479844,38.45
36,Kentavious Caldwell-Pope,80.17957446808511,19.583333333333332
37,Vince Carter,-38.85901639344263,5.083333333333333
38,Michael Carter-Williams,52.9258064516129,15.5
39,Alex Caruso,54.943052391799554,18.291666666666668
40,Willie Cauley-Stein,38.72094861660079,15.8125
41,Wilson Chandler,72.40716845878136,13.95
42,Marquese Chriss,67.01862068965517,29.0
43,Jordan Clarkson,64.87184170471843,27.375
44,John Collins,72.27876651982379,47.291666666666664
45,Pat Connaughton,52.630927835051544,14.55
46,Robert Covington,77.638739789965,35.708333333333336
47,Allen Crabbe,21.369411764705887,5.3125
48,Torrey Craig,53.24028776978417,13.9
49,Jae Crowder,92.30326295585412,26.05
50,Seth Curry,64.11374663072776,30.916666666666668
51,Troy Daniels,42.62278481012658,4.9375
52,Anthony Davis,74.8206554121152,50.35
53,DeMar DeRozan,67.11398354876616,35.458333333333336
54,Dewayne Dedmon,52.20846905537459,19.1875
55,Matthew Dellavedova,31.78507462686568,10.05
56,Cheick Diallo,-9.747368421052641,10.45
57,Gorgui Dieng,43.55546719681909,20.958333333333332
58,Spencer Dinwiddie,80.5449088960343,38.875
59,Damyean Dotson,50.050980392156866,12.75
