,name,mape,actual
0,Steven Adams,67.53643586833144,36.708333333333336
1,Bam Adebayo,84.31375770020534,40.583333333333336
2,LaMarcus Aldridge,54.41809954751132,33.15
3,Jarrett Allen,76.28391608391608,23.833333333333332
4,Kyle Anderson,73.59516616314198,20.6875
5,Giannis Antetokounmpo,84.38984214138641,60.708333333333336
6,Carmelo Anthony,64.22305721605466,24.395833333333332
7,OG Anunoby,42.599999999999994,52.75
8,Ryan Arcidiacono,20.33142857142856,8.75
9,Trevor Ariza,59.722406639004156,21.90909090909091
10,Lonzo Ball,78.09380053908356,46.375
11,Harrison Barnes,70.93544668587896,28.916666666666668
12,Will Barton,70.21124497991967,24.9
13,Kent Bazemore,73.5453947368421,25.333333333333332
14,Bradley Beal,74.83189655172413,58.0
15,Malik Beasley,78.33608815426997,30.25
16,Marco Belinelli,7.44599483204135,10.75
17,Dāvis Bertāns,68.3962962962963,27.0
18,Khem Birch,48.96279069767442,10.75
19,Bismack Biyombo,54.51663920922569,21.678571428571427
20,Nemanja Bjelica,53.96428571428572,24.5
21,Eric Bledsoe,64.64316546762589,29.785714285714285
22,Bogdan Bogdanović,83.9221052631579,23.75
23,Bojan Bogdanović,63.166197183098596,21.3
24,Devin Booker,76.51449275362319,34.5
